task_id,state_idx,true_entropy,normalized_entropy,success,final_reward,original_reward,improvement,is_improvement,U,L
0,21,1.280320405960083,0.49916011099228197,False,0.0,11.11111111111111,-11.11111111111111,False,1.280320405960083,-11.11111111111111
0,22,1.2416610717773438,0.484087948233872,False,0.0,11.11111111111111,-11.11111111111111,False,1.2416610717773438,-11.11111111111111
0,24,1.051697015762329,0.42323401398280075,False,0.0,11.11111111111111,-11.11111111111111,False,1.051697015762329,-11.11111111111111
0,25,1.2223023176193237,0.4765405266437714,False,0.0,11.11111111111111,-11.11111111111111,False,1.2223023176193237,-11.11111111111111
0,26,1.051697015762329,0.42323401398280075,False,0.0,11.11111111111111,-11.11111111111111,False,1.051697015762329,-11.11111111111111
0,27,1.1930718421936035,0.43030970753924297,False,11.11111111111111,11.11111111111111,0.0,False,1.1930718421936035,0.0
0,28,1.0496940612792969,0.4224279658025992,False,0.0,11.11111111111111,-11.11111111111111,False,1.0496940612792969,-11.11111111111111
0,29,1.0531026124954224,0.35765815489698205,False,0.0,11.11111111111111,-11.11111111111111,False,1.0531026124954224,-11.11111111111111
1,2,1.1377956867218018,0.4311371617257281,False,50.0,66.66666666666666,-16.666666666666657,False,1.1377956867218018,-16.666666666666657
1,3,2.25003719329834,0.905481577543487,False,66.66666666666666,66.66666666666666,0.0,False,2.25003719329834,0.0
1,5,2.174098491668701,0.8749215958894007,False,66.66666666666666,66.66666666666666,0.0,False,2.174098491668701,0.0
1,6,1.0593385696411133,0.4130056472886907,False,75.0,66.66666666666666,8.333333333333343,False,1.0593385696411133,8.333333333333343
1,7,2.2445521354675293,0.9032742278906224,False,75.0,66.66666666666666,8.333333333333343,False,2.2445521354675293,8.333333333333343
1,9,2.3044745922088623,0.9273887984506253,False,66.66666666666666,66.66666666666666,0.0,False,2.3044745922088623,0.0
1,10,1.0817193984985352,0.3901478029618073,False,66.66666666666666,66.66666666666666,0.0,False,1.0817193984985352,0.0
1,11,2.2734713554382324,0.9149121781424641,False,50.0,66.66666666666666,-16.666666666666657,False,2.2734713554382324,-16.666666666666657
2,1,0.9025887846946716,0.36322844754416667,False,60.0,20.0,40.0,True,0.9025887846946716,40.0
2,2,1.767979621887207,0.5901660964481856,False,40.0,20.0,20.0,True,1.767979621887207,20.0
3,1,0.8543451428413391,0.34381377783919065,False,40.0,40.0,0.0,False,0.8543451428413391,0.0
3,2,1.3391835689544678,0.49451947693192816,False,40.0,40.0,0.0,False,1.3391835689544678,0.0
3,3,0.7985664010047913,0.3213667608289917,False,40.0,40.0,0.0,False,0.7985664010047913,0.0
4,1,2.0141043663024902,0.8105352233148571,False,83.33333333333334,66.66666666666666,16.666666666666686,True,2.0141043663024902,16.666666666666686
4,2,1.5184004306793213,0.5753571222724007,False,83.33333333333334,66.66666666666666,16.666666666666686,True,1.5184004306793213,16.666666666666686
4,3,2.0329415798187256,0.818115875697852,False,83.33333333333334,66.66666666666666,16.666666666666686,True,2.0329415798187256,16.666666666666686
4,5,2.0141043663024902,0.8105352233148571,False,66.66666666666666,66.66666666666666,0.0,False,2.0141043663024902,0.0
4,6,1.5641627311706543,0.5926975187760282,False,83.33333333333334,66.66666666666666,16.666666666666686,True,1.5641627311706543,16.666666666666686
4,7,0.04576927423477173,0.06603110496359219,False,83.33333333333334,66.66666666666666,16.666666666666686,True,0.04576927423477173,16.666666666666686
4,8,1.5641627311706543,0.5926975187760282,False,83.33333333333334,66.66666666666666,16.666666666666686,True,1.5641627311706543,16.666666666666686
5,1,1.711012840270996,0.6885622204025134,False,75.0,87.5,-12.5,False,1.711012840270996,-12.5
5,2,1.0965571403503418,0.38703655785428354,False,87.5,87.5,0.0,False,1.0965571403503418,0.0
5,3,0.9788445234298706,0.3454891688560565,False,87.5,87.5,0.0,False,0.9788445234298706,0.0
5,4,1.1112650632858276,0.3922278093236942,False,87.5,87.5,0.0,False,1.1112650632858276,0.0
6,1,1.8726449012756348,0.7536077467680322,False,37.5,25.0,12.5,True,1.8726449012756348,12.5
6,3,1.8726449012756348,0.7536077467680322,False,25.0,25.0,0.0,False,1.8726449012756348,0.0
6,4,1.8774008750915527,0.6376090278573333,False,37.5,25.0,12.5,True,1.8774008750915527,12.5
6,6,1.8726449012756348,0.7536077467680322,False,50.0,25.0,25.0,True,1.8726449012756348,25.0
6,7,1.7306549549102783,0.5777068165230645,False,50.0,25.0,25.0,True,1.7306549549102783,25.0
7,1,1.1686134338378906,0.4702846418546913,True,100.0,90.0,10.0,False,1.1686134338378906,10.0
7,2,0.8630551695823669,0.31128135329251605,True,100.0,90.0,10.0,False,0.8630551695823669,10.0
8,1,1.900900959968567,0.7649788212892191,False,50.0,12.5,37.5,True,1.900900959968567,37.5
8,2,1.4736214876174927,0.5004761511595901,False,25.0,12.5,12.5,True,1.4736214876174927,12.5
8,3,0.06258013099431992,0.09028404464368706,False,25.0,12.5,12.5,True,0.06258013099431992,12.5
8,4,1.4736214876174927,0.5004761511595901,False,25.0,12.5,12.5,True,1.4736214876174927,12.5
8,5,2.039842367172241,0.6927779388893001,False,25.0,12.5,12.5,True,2.039842367172241,12.5
9,1,1.2633041143417358,0.5083909749485014,False,80.0,80.0,0.0,False,1.2633041143417358,0.0
